station_id,date,parameter,value,station_name,lat,lon
CBP_WQX-CB3.2,2015-06-01,chlorophyll_a,8.14,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2015-06-01,dissolved_oxygen,6.52,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2015-06-01,salinity,8.88,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2015-06-01,temperature,21.73,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2015-07-01,dissolved_oxygen,4.11,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2015-07-01,salinity,5.86,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2015-07-01,temperature,25.97,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2016-07-01,dissolved_oxygen,4.51,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2016-07-01,salinity,10.95,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2016-07-01,temperature,28.36,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2016-10-01,chlorophyll_a,15.59,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2016-10-01,dissolved_oxygen,9.6,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2016-10-01,salinity,14.75,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2016-10-01,temperature,19.56,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2017-01-01,chlorophyll_a,19.78,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2017-01-01,dissolved_oxygen,11.86,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2017-01-01,salinity,12.28,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2017-01-01,temperature,3.51,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2018-02-01,chlorophyll_a,8.12,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2018-02-01,dissolved_oxygen,10.78,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2018-02-01,salinity,11.7,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2018-02-01,temperature,2.22,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2018-03-01,chlorophyll_a,18.96,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2018-03-01,dissolved_oxygen,9.39,Upper Bay,39.16369,-76.30631
CBP_WQX-CB3.2,2018-03-01,salinity,12.3,Upper Bay,39.16369,-76.30631
